name,link,username,password
Nordstrom.com,http://localhost:3022,asdfasdf023,pwd123123
Kohl's.com,http://localhost:3013,asdfasdf014,pwd123124
UrbanOutfitters.com,http://localhost:3040,asdfasdf041,pwd123125
Lululemon.com,http://localhost:3028,asdfasdf029,pwd123126
ASOS Marketplace,http://localhost:3024,asdfasdf025,pwd123127
eBay,http://localhost:3002,asdfasdf003,pwd123128
Saks Fifth Avenue Online,http://localhost:3019,asdfasdf020,pwd123129
Walmart.com,http://localhost:3004,asdfasdf005,pwd123130
Missguided.com,http://localhost:3045,asdfasdf046,pwd123131
Macy's.com,http://localhost:3012,asdfasdf013,pwd123132
Apple.com,http://localhost:3008,asdfasdf009,pwd123133
Sephora.com,http://localhost:3006,asdfasdf007,pwd123134
HomeDepot.com,http://localhost:3009,asdfasdf010,pwd123135
Etsy.com,http://localhost:3050,asdfasdf051,pwd123136
ModCloth.com,http://localhost:3042,asdfasdf043,pwd123137
EastDane.com,http://localhost:3039,asdfasdf040,pwd123138
FreePeople.com,http://localhost:3041,asdfasdf042,pwd123139
NastyGal.com,http://localhost:3043,asdfasdf044,pwd123140
Depop.com,http://localhost:3049,asdfasdf050,pwd123141
Amazon,http://localhost:3001,asdfasdf002,pwd123142
Zappos.com,http://localhost:3015,asdfasdf016,pwd123143
AliExpress,http://localhost:3003,asdfasdf004,pwd123144
Macy's Clearance,http://localhost:3023,asdfasdf024,pwd123145
Foot Locker.com,http://localhost:3037,asdfasdf038,pwd123146
J.Crew.com,http://localhost:3031,asdfasdf032,pwd123147
VictoriaSecrets.com,http://localhost:3036,asdfasdf037,pwd123148
ASOS.com,http://localhost:3014,asdfasdf015,pwd123149
TheNordstrom.com,http://localhost:3018,asdfasdf019,pwd123150
Nike.com,http://localhost:3007,asdfasdf008,pwd123151
Bloomingdale's.com,http://localhost:3020,asdfasdf021,pwd123152
Boohoo.com,http://localhost:3046,asdfasdf047,pwd123153
ASOS Design,http://localhost:3044,asdfasdf045,pwd123154
Jet.com,http://localhost:3026,asdfasdf027,pwd123155
ecom,http://localhost:3000,asdfasdf001,pwd123156
Uniqlo.com,http://localhost:3016,asdfasdf017,pwd123157
FinishLine.com,http://localhost:3038,asdfasdf039,pwd123158
Gap.com,http://localhost:3032,asdfasdf033,pwd123159
Target.com,http://localhost:3011,asdfasdf012,pwd123160
Madewell.com,http://localhost:3030,asdfasdf031,pwd123161
Bonobos.com,http://localhost:3027,asdfasdf028,pwd123162
NeimanMarcus.com,http://localhost:3021,asdfasdf022,pwd123163
H&M.com,http://localhost:3017,asdfasdf018,pwd123164
BananaRepublic.com,http://localhost:3033,asdfasdf034,pwd123165
Athleta.com,http://localhost:3029,asdfasdf030,pwd123166
BestBuy.com,http://localhost:3005,asdfasdf006,pwd123167
Lowe's.com,http://localhost:3010,asdfasdf011,pwd123168
RalphLauren.com,http://localhost:3035,asdfasdf036,pwd123169
PrettyLittleThing.com,http://localhost:3047,asdfasdf048,pwd123170
FashionNova.com,http://localhost:3048,asdfasdf049,pwd123171
Rakuten.com,http://localhost:3025,asdfasdf026,pwd123172
Burberry.com,http://localhost:3034,asdfasdf035,pwd123173
